,movie_code,duration,facenumber_in_poster,country,budget,gross,num_voted_users,num_user_for_reviews,num_critic_for_reviews,movie_facebook_likes,director_facebook_likes,actor_1_facebook_likes,actor_2_facebook_likes,actor_3_facebook_likes,cast_total_facebook_likes,imdb_score,imdb_score_class
2727,2728,111.0,0.0,Spain,15000000.0,2203641.0,42792,162.0,150.0,0,122.0,918.0,278.0,25.0,1252,6.7,Good
1982,1983,100.0,0.0,USA,25000000.0,10114315.0,18693,187.0,70.0,0,57.0,181.0,151.0,92.0,582,6.4,Good
3985,3986,88.0,3.0,USA,5000000.0,,801,14.0,11.0,358,2.0,2000.0,872.0,6.0,2886,3.5,Bad
4688,4689,86.0,0.0,USA,,3278611.0,2877,46.0,49.0,903,30.0,262.0,23.0,14.0,321,7.1,Good
4169,4170,82.0,1.0,Poland,,3826455.0,34643,123.0,269.0,17000,84.0,88.0,64.0,46.0,205,7.4,Good
4119,4120,98.0,0.0,Germany,2700000.0,95016.0,11074,56.0,40.0,442,7.0,289.0,38.0,17.0,362,7.4,Good
4395,4396,113.0,2.0,USA,1600000.0,,74651,313.0,149.0,6000,0.0,11000.0,481.0,324.0,12157,7.9,Good
160,161,121.0,0.0,USA,139000000.0,403706375.0,544665,2012.0,291.0,5000,0.0,24000.0,11000.0,4000.0,40484,7.3,Good
2277,2278,102.0,1.0,USA,22000000.0,12469811.0,69172,316.0,156.0,0,563.0,12000.0,442.0,385.0,13156,6.6,Good
417,418,104.0,5.0,USA,85000000.0,62494975.0,179500,378.0,158.0,0,681.0,584.0,227.0,159.0,1235,6.0,Fair
2268,2269,88.0,6.0,USA,27000000.0,15988876.0,26236,110.0,107.0,0,190.0,137000.0,459.0,163.0,137712,5.7,Fair
1396,1397,108.0,3.0,USA,35000000.0,277313371.0,583341,626.0,334.0,24000,480.0,14000.0,839.0,706.0,17623,7.8,Good
4052,4053,91.0,0.0,UK,3000000.0,24788807.0,21245,213.0,94.0,0,52.0,773.0,588.0,482.0,1965,7.4,Good
422,423,106.0,1.0,USA,85000000.0,64933670.0,70838,208.0,382.0,18000,763.0,8000.0,886.0,809.0,11454,5.6,Fair
2604,2605,120.0,3.0,Taiwan,15000000.0,128067808.0,217740,1641.0,287.0,0,0.0,103.0,21.0,5.0,129,7.9,Good
1,2,169.0,0.0,USA,300000000.0,309404152.0,471220,1238.0,302.0,0,563.0,40000.0,5000.0,1000.0,48350,7.1,Good
2428,2429,94.0,0.0,USA,18000000.0,18329466.0,279179,440.0,450.0,63000,0.0,11000.0,642.0,223.0,11984,7.6,Good
2816,2817,90.0,7.0,Canada,,,9928,66.0,45.0,934,10.0,826.0,521.0,378.0,2207,3.6,Bad
3482,3483,125.0,3.0,UK,13000000.0,21000000.0,73950,258.0,118.0,2000,82.0,16000.0,387.0,244.0,17611,6.8,Good
981,982,106.0,0.0,USA,50000000.0,41482207.0,68428,148.0,105.0,0,287.0,16000.0,823.0,767.0,19610,6.3,Good
1574,1575,161.0,0.0,USA,31000000.0,87100000.0,52339,200.0,66.0,0,521.0,11000.0,920.0,184.0,12518,7.2,Good
24,25,201.0,0.0,New Zealand,207000000.0,218051260.0,316018,2618.0,446.0,0,0.0,6000.0,919.0,84.0,7123,7.2,Good
419,420,178.0,0.0,USA,90000000.0,44606335.0,169023,703.0,98.0,10000,102.0,12000.0,11000.0,551.0,23950,7.1,Good
2146,2147,127.0,1.0,France,20000000.0,24104113.0,149066,517.0,466.0,24000,140.0,19000.0,14000.0,10000.0,46241,7.1,Good
763,764,124.0,0.0,USA,61000000.0,46975183.0,256213,338.0,198.0,0,845.0,650.0,467.0,295.0,1640,7.2,Good
4785,4786,89.0,2.0,USA,439000.0,2300000.0,7921,97.0,65.0,439,24.0,610.0,105.0,45.0,995,7.7,Good
4578,4579,100.0,0.0,USA,,750100.0,19752,61.0,117.0,0,71.0,11000.0,733.0,145.0,12234,6.3,Good
1137,1138,130.0,1.0,USA,44000000.0,183875760.0,213668,270.0,119.0,0,99.0,11000.0,1000.0,812.0,13357,7.8,Good
2118,2119,116.0,0.0,France,22000000.0,1050445.0,21394,147.0,115.0,11000,13.0,203.0,172.0,140.0,773,7.8,Good
4917,4918,105.0,0.0,USA,200000.0,,37,1.0,13.0,38,0.0,178.0,32.0,27.0,263,6.7,Good
1747,1748,167.0,0.0,USA,28000000.0,161029270.0,119928,331.0,349.0,76000,473.0,559.0,427.0,303.0,2702,7.9,Good
3694,3695,128.0,0.0,India,,563699.0,3266,27.0,24.0,421,4.0,374.0,282.0,47.0,787,6.2,Good
995,996,87.0,0.0,USA,50000000.0,33643461.0,11257,65.0,98.0,0,9.0,15000.0,2000.0,1000.0,20061,4.2,Fair
2384,2385,90.0,0.0,USA,19000000.0,64255243.0,80903,518.0,220.0,0,15.0,87000.0,17000.0,16000.0,120797,6.0,Fair
4731,4732,94.0,0.0,USA,,3117666.0,3394,43.0,88.0,694,3.0,196.0,184.0,2.0,382,7.4,Good
4404,4405,91.0,1.0,USA,1500000.0,7417210.0,59041,408.0,71.0,0,184.0,3000.0,202.0,82.0,3310,7.0,Good
4637,4638,108.0,2.0,USA,910000.0,9600000.0,100890,281.0,134.0,0,603.0,10000.0,416.0,279.0,11094,8.2,Excellent
555,556,94.0,0.0,USA,75000000.0,22751979.0,52244,377.0,131.0,0,383.0,13000.0,1000.0,886.0,15857,6.6,Good
469,470,134.0,4.0,USA,68000000.0,85707116.0,303185,701.0,406.0,82000,452.0,11000.0,8000.0,697.0,20411,7.6,Good
232,233,121.0,4.0,USA,120000000.0,30212620.0,35066,196.0,168.0,0,274.0,273.0,216.0,157.0,993,5.3,Fair
1524,1525,101.0,0.0,USA,33000000.0,51758599.0,27580,232.0,107.0,742,43.0,2000.0,1000.0,655.0,5942,5.5,Fair
3875,3876,101.0,1.0,New Zealand,6000000.0,20772796.0,34232,346.0,149.0,0,51.0,446.0,20.0,8.0,497,7.6,Good
1877,1878,107.0,1.0,Russia,26000000.0,,3170,18.0,25.0,0,0.0,1000.0,65.0,48.0,1166,5.4,Fair
1072,1073,91.0,2.0,USA,45000000.0,130512915.0,60884,85.0,35.0,0,32.0,924.0,664.0,628.0,3244,4.8,Fair
50,51,116.0,2.0,USA,200000000.0,90755643.0,222403,453.0,306.0,23000,179.0,15000.0,567.0,236.0,16149,6.6,Good
2650,2651,98.0,0.0,USA,16000000.0,30857814.0,294163,718.0,185.0,33000,0.0,18000.0,636.0,594.0,20060,8.1,Excellent
177,178,117.0,0.0,UK,140000000.0,52792307.0,12572,106.0,252.0,27000,14000.0,535.0,400.0,358.0,1950,6.8,Good
2163,2164,95.0,2.0,USA,32000000.0,82301521.0,22679,149.0,75.0,773,32.0,826.0,642.0,563.0,3558,4.6,Fair
1705,1706,86.0,0.0,USA,30000000.0,10134754.0,9682,38.0,77.0,0,6.0,1000.0,857.0,843.0,5393,4.8,Fair
824,825,125.0,0.0,USA,58000000.0,49875589.0,28807,273.0,144.0,0,143.0,1000.0,664.0,519.0,4416,5.9,Fair
4167,4168,93.0,0.0,USA,2600000.0,119500000.0,95294,363.0,121.0,12000,0.0,1000.0,1000.0,628.0,4701,7.8,Good
375,376,119.0,0.0,USA,95000000.0,73209340.0,101834,628.0,180.0,0,719.0,833.0,624.0,423.0,2356,5.7,Fair
2577,2578,95.0,0.0,USA,15000000.0,4193025.0,30682,194.0,42.0,0,89.0,1000.0,852.0,322.0,2518,6.8,Good
4826,4827,102.0,1.0,USA,312000.0,1281176.0,2932,73.0,64.0,121,149.0,409.0,277.0,276.0,1986,6.7,Good
831,832,131.0,2.0,UK,57000000.0,25528495.0,28099,220.0,96.0,0,108.0,23000.0,243.0,58.0,23325,5.9,Fair
1015,1016,158.0,0.0,France,390000000.0,14131298.0,55889,390.0,111.0,0,0.0,51.0,40.0,15.0,144,6.4,Good
3122,3123,114.0,1.0,USA,17000000.0,30050028.0,42987,201.0,83.0,0,9.0,623.0,472.0,466.0,2484,6.5,Good
3147,3148,100.0,0.0,USA,10000000.0,,7322,78.0,52.0,680,394.0,2000.0,926.0,695.0,6296,7.1,Good
2112,2113,104.0,0.0,USA,22000000.0,5974653.0,2253,111.0,18.0,158,53.0,2000.0,595.0,576.0,4221,4.1,Fair
890,891,96.0,1.0,USA,55000000.0,,19706,142.0,66.0,448,13.0,13000.0,854.0,534.0,15803,5.3,Fair
4320,4321,86.0,0.0,Ireland,,,6585,53.0,98.0,0,5.0,121.0,94.0,47.0,322,5.7,Fair
1172,1173,112.0,4.0,USA,44000000.0,6105175.0,247020,835.0,293.0,50000,133.0,11000.0,392.0,365.0,12239,6.6,Good
