pengamatan;1;2;3;4;5;6;7;8;9;10;11
16;6,5;5;10;2;7;7;2;7,5;7;3,5;3,5
17;4,5;6,5;5,5;1,5;4,5;6,5;7,5;5,5;5,5;1;7,5
18;5;5,5;2;8;13;7;9;5;7,5;10;7
19;1,5;5;6;7,5;7,5;1,5;6;6,5;2;7;4,5
20;2,5;8;1,5;3,5;5;9,5;3,5;7;3;7;6
21;5,5;1,5;16;1,5;2,5;6;3,5;4,5;3,5;4;1,5
22;7,5;4,5;7;7,5;6,5;7,5;4,5;3,5;5,5;5,5;2,5
23;5,5;2;5,5;1;8;5,5;5,5;5,5;7,5;5,5;3
24;1,5;6,5;2;2;7,5;6,5;6;2;7;7;9
25;7;2,5;5;4,5;1,5;6,5;1,5;7,5;9,9;5,5;6
26;11,5;4,5;7,5;3,5;6,5;2;2;7,5;3,5;10;1,5
27;8;18,9;1;6;9;7,5;3,5;5;6;3,5;2
28;2;2;3,5;3;6,5;4,5;1,5;4,5;5;13;9,9
29;3,5;8,5;5,5;4,5;4;2;9,5;1;1,5;1,5;6,5
30;6;5;8;1,5;4;2;3,5;6;4,5;1,5;3
